4	1	136	0
24	1	128	0
17	1	137	0
21	1	143	0
8	1	144	0
15	1	140	0
13	1	132	0
19	1	128	0
15	1	130	0
6	1	139	0
11	1	136	0
12	1	144	0
16	1	138	0
16	1	138	0
17	1	135	0
14	1	137	0
8	1	128	0
21	1	137	0
13	1	140	0
20	1	131	0
14	1	138	0
18	1	132	0
18	1	133	0
20	1	129	0
19	1	133	0
15	1	148	0
15	1	134	0
10	1	134	0
18	1	140	0
8	1	132	0
10	1	148	0
14	1	143	0
17	1	142	0
19	1	134	0
19	1	141	0
14	1	133	0
14	1	128	0
15	1	132	0
8	1	131	0
18	1	142	0
13	1	133	0
8	1	138	0
12	1	134	0
20	1	138	0
5	1	139	0
22	1	132	0
11	1	128	0
15	1	144	0
6	1	141	0
16	1	137	0
9	1	133	0
12	1	140	0
11	1	137	0
19	1	139	0
21	1	136	0
24	1	140	0
22	1	139	0
15	1	146	0
19	1	129	0
19	1	144	0
13	1	143	0
15	1	137	0
16	1	140	0
16	1	139	0
19	1	137	0
15	1	143	0
20	1	135	0
11	1	134	0
3	1	137	0
9	1	138	0
19	1	144	0
18	1	133	0
18	1	130	0
11	1	139	0
14	1	136	0
18	1	138	0
9	1	134	0
14	1	131	0
7	1	130	0
8	1	134	0
7	1	137	0
17	1	136	0
2	1	138	0
17	1	138	0
22	1	142	0
16	1	135	0
16	1	139	0
3	1	131	0
13	1	139	0
5	1	137	0
22	1	146	0
12	1	138	0
12	1	140	0
3	1	141	0
10	1	131	0
17	1	137	0
22	1	138	0
14	1	141	0
17	1	137	0
8	1	138	0
11	1	135	0
14	1	132	0
10	1	136	0
12	1	139	0
11	1	138	0
12	1	136	0
12	1	142	0
17	1	142	0
11	1	142	0
15	1	134	0
17	1	133	0
16	1	134	0
13	1	131	0
15	1	140	0
14	1	133	0
21	1	139	0
15	1	136	0
18	1	145	0
14	1	135	0
15	1	136	0
20	1	135	0
14	1	137	0
17	1	129	0
4	1	132	0
12	1	141	0
18	1	140	0
11	1	140	0
23	1	135	0
17	1	136	0
18	1	140	0
16	1	145	0
8	1	124	0
17	1	138	0
9	1	133	0
16	1	138	0
10	1	136	0
12	1	142	0
16	1	135	0
15	1	140	0
10	1	138	0
15	1	134	0
15	1	128	0
13	1	142	0
10	1	135	0
22	1	140	0
15	1	128	0
12	1	138	0
11	1	135	0
15	1	131	0
18	1	143	0
8	1	135	0
18	1	141	0
14	1	140	0
15	1	130	0
20	1	128	0
13	1	137	0
15	1	133	0
19	1	136	0
17	1	141	0
10	1	138	0
14	1	139	0
15	1	127	0
21	1	133	0
24	1	141	0
13	1	138	0
15	1	134	0
15	1	139	0
11	1	140	0
16	1	134	0
13	1	140	0
20	1	137	0
16	1	139	0
5	1	143	0
12	1	140	0
19	1	137	0
23	1	133	0
12	1	140	0
20	1	134	0
20	1	141	0
20	1	138	0
10	1	144	0
11	1	134	0
17	1	147	0
4	1	136	0
17	1	132	0
15	1	139	0
11	1	141	0
9	1	138	0
10	1	138	0
15	1	140	0
11	1	142	0
9	1	137	0
13	1	135	0
15	1	143	0
4	1	140	0
9	1	143	0
18	1	149	0
11	1	129	0
10	1	142	0
11	1	142	0
8	1	142	0
15	1	141	0
15	1	138	0
17	1	139	0
13	1	140	0
8	1	130	0
9	1	133	0
16	1	140	0
18	1	142	0
14	1	133	0
10	1	144	0
20	1	151	0
7	1	132	0
10	1	132	0
14	1	139	0
10	1	134	0
12	1	126	0
7	1	143	0
16	1	131	0
12	1	140	0
16	1	128	0
18	1	140	0
